referenznummer,category_id,nama_perusahaan,titik_data_di_peta,posisi_kota,alamat_detail,detail_deskripsi,gaji,persyaratan,jenis_ausbildung,beruf_typ,deskripsi_perusahaan,apa_yang_ditawarkan,link_website_perusahaan,link_website_perusahaan_resmi,website_type,alamat_email_bewerbung,link_bewerbung,link_bewerbung_externe,link_bewerbung_efektif,bewerbung_sumber,kontak_penanggung_jawab,dokumen_yang_harus_dipenuhi,ba_job_url,sumber_data,ausbildung_de_url,is_duplicate_of_arbeitsagentur,duplicate_of_refnr,kelengkapan_score,scraped_at
MAD-2440498662,meine_ausbildung_ae,C. Disselkamp Schlafraumsysteme GmbH,,Herzebrock-Clarholz,,Fachinformatiker/in - Anwendungsentwicklung,,,Fachinformatiker/in - Anwendungsentwicklung,ae,,,https://www.disselkamp.de,https://www.disselkamp.de,company,,https://suche.ausbildung.nrw/unternehmen/c-disselkamp-schlafraumsysteme-gmbh/3943?utm_source=meine-ausbildung-in-deutschland,https://suche.ausbildung.nrw/unternehmen/c-disselkamp-schlafraumsysteme-gmbh/3943?utm_source=meine-ausbildung-in-deutschland,https://suche.ausbildung.nrw/unternehmen/c-disselkamp-schlafraumsysteme-gmbh/3943?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:44:24.869334+00:00
MAD-2440441204,meine_ausbildung_ae,Comsulting Gerhard Faehling GmbH,,Timmendorfer Strand,,Fachinformatiker/in für Anwendungsentwicklung,,,Fachinformatiker/in für Anwendungsentwicklung,ae,,,https://www.comsulting.de,https://www.comsulting.de,company,,https://www.comsulting.de/jobs/ausbildung-praktikum/?utm_source=meine-ausbildung-in-deutschland,https://www.comsulting.de/jobs/ausbildung-praktikum/?utm_source=meine-ausbildung-in-deutschland,https://www.comsulting.de/jobs/ausbildung-praktikum/?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:44:25.681074+00:00
MAD-2440499225,meine_ausbildung_ae,IPWatch GmbH,,Essen,,Fachinformatiker/in - Anwendungsentwicklung,,,Fachinformatiker/in - Anwendungsentwicklung,ae,,,https://www.ipwatch.de,https://www.ipwatch.de,company,,https://suche.ausbildung.nrw/unternehmen/ipwatch-gmbh/2903?utm_source=meine-ausbildung-in-deutschland,https://suche.ausbildung.nrw/unternehmen/ipwatch-gmbh/2903?utm_source=meine-ausbildung-in-deutschland,https://suche.ausbildung.nrw/unternehmen/ipwatch-gmbh/2903?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:44:26.092787+00:00
MAD-2440499240,meine_ausbildung_ae,Krohne Pressure Solutions GmbH,,Minden,,Fachinformatiker/in - Anwendungsentwicklung,,,Fachinformatiker/in - Anwendungsentwicklung,ae,,,https://www.krohne.com,https://www.krohne.com,company,,https://suche.ausbildung.nrw/unternehmen/krohne-pressure-solutions-gmbh/4312?utm_source=meine-ausbildung-in-deutschland,https://suche.ausbildung.nrw/unternehmen/krohne-pressure-solutions-gmbh/4312?utm_source=meine-ausbildung-in-deutschland,https://suche.ausbildung.nrw/unternehmen/krohne-pressure-solutions-gmbh/4312?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:44:26.476851+00:00
MAD-2440499245,meine_ausbildung_ae,Leonex Internet GmbH,,Paderborn,,Fachinformatiker/in - Anwendungsentwicklung,,,Fachinformatiker/in - Anwendungsentwicklung,ae,,,https://www.leonex.de,https://www.leonex.de,company,,https://suche.ausbildung.nrw/unternehmen/leonex-internet-gmbh-part-of-mai-group/4215?utm_source=meine-ausbildung-in-deutschland,https://suche.ausbildung.nrw/unternehmen/leonex-internet-gmbh-part-of-mai-group/4215?utm_source=meine-ausbildung-in-deutschland,https://suche.ausbildung.nrw/unternehmen/leonex-internet-gmbh-part-of-mai-group/4215?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:44:26.955136+00:00
MAD-2440456498,meine_ausbildung_ae,Logiline Berlin GmbH,,Niedersachsen - Langenhagen,,Fachinformatiker/in - Anwendungsentwicklung,,,Fachinformatiker/in - Anwendungsentwicklung,ae,,,https://www.logiline.de,https://www.logiline.de,company,,https://ihk-boerse.de/unternehmen/logiline-gmbh/2489?utm_source=meine-ausbildung-in-deutschland,https://ihk-boerse.de/unternehmen/logiline-gmbh/2489?utm_source=meine-ausbildung-in-deutschland,https://ihk-boerse.de/unternehmen/logiline-gmbh/2489?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:44:27.385189+00:00
MAD-2440499251,meine_ausbildung_ae,logunion GmbH & Co. KG,,Halle (Westf.),,Fachinformatiker/in - Anwendungsentwicklung,,,Fachinformatiker/in - Anwendungsentwicklung,ae,,,https://www.logunion.de,https://www.logunion.de,company,,https://suche.ausbildung.nrw/unternehmen/logunion-gmbh-co-kg/3982?utm_source=meine-ausbildung-in-deutschland,https://suche.ausbildung.nrw/unternehmen/logunion-gmbh-co-kg/3982?utm_source=meine-ausbildung-in-deutschland,https://suche.ausbildung.nrw/unternehmen/logunion-gmbh-co-kg/3982?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:44:27.780790+00:00
MAD-2440458515,meine_ausbildung_ae,mobileObjects AG,,Lichtenau,,Fachinformatiker/in - Anwendungsentwicklung,,,Fachinformatiker/in - Anwendungsentwicklung,ae,,,https://www.mobileobjects.de,https://www.mobileobjects.de,company,,https://ihk-boerse.de/unternehmen/mobileobjects-gmbh/3918?utm_source=meine-ausbildung-in-deutschland,https://ihk-boerse.de/unternehmen/mobileobjects-gmbh/3918?utm_source=meine-ausbildung-in-deutschland,https://ihk-boerse.de/unternehmen/mobileobjects-gmbh/3918?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:44:28.179864+00:00
MAD-2440458585,meine_ausbildung_ae,Nomad Digital,,Hildesheim,,Fachinformatiker/in - Anwendungsentwicklung,,,Fachinformatiker/in - Anwendungsentwicklung,ae,,,https://www.nomad-digital.de,https://www.nomad-digital.de,company,,https://ihk-boerse.de/unternehmen/nomad-digital-gmbh/2091?utm_source=meine-ausbildung-in-deutschland,https://ihk-boerse.de/unternehmen/nomad-digital-gmbh/2091?utm_source=meine-ausbildung-in-deutschland,https://ihk-boerse.de/unternehmen/nomad-digital-gmbh/2091?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:44:28.615928+00:00
MAD-2440458599,meine_ausbildung_ae,Nutrio GmbH,,Hildesheim,,Fachinformatiker/in - Anwendungsentwicklung,,,Fachinformatiker/in - Anwendungsentwicklung,ae,,,https://www.nutrio.care,https://www.nutrio.care,company,,https://ihk-boerse.de/unternehmen/nutrio-gmbh/2531?utm_source=meine-ausbildung-in-deutschland,https://ihk-boerse.de/unternehmen/nutrio-gmbh/2531?utm_source=meine-ausbildung-in-deutschland,https://ihk-boerse.de/unternehmen/nutrio-gmbh/2531?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:44:28.999251+00:00
